split,n,qchecker_detection_rate,rule_apr_fire_rate,rule_apr_mean_f1
TRAIN,29,0.41379310344827586,0.3448275862068966,0.016445623342175066
VAL,6,0.6666666666666666,0.3333333333333333,0.0
TEST,7,0.42857142857142855,0.5714285714285714,0.2562358276643991
